"Monocytes C"	"NK"	"T CD8 Memory"	"T CD4 Naive"	"T CD8 Naive"	"B Naive"	"T CD4 Memory"	"MAIT"	"T gd Vd2"	"Neutrophils LD"	"T gd non-Vd2"	"Basophils LD"	"Monocytes NC+I"	"B Memory"	"mDCs"	"pDCs"	"Plasmablasts"
"S1PR3"	45.7207350056025	0.279002270199044	0.198110252448312	0.365750580339091	0.193028507593731	1.59536773941555	0.339706534652437	0.16360088267013	0.248811279649232	0.14239217599733	0.279347816726702	0.213409629868911	2.04098638303386	0.506119184242594	3.99620583318557	0.297084552255772	0.615986893012333
"RXFP2"	17.8773982515511	0	0	0	0	0.247177095034063	0	0	0	0	0	0.16358914753749	0.876709882763698	0.36986944647505	2.13813458316863	0.0249378020378816	0.0908257885108018
"ADAMTS5"	2.55023710372277	0	0	0	0	0	0	0	0	0	0	0	0.0146979096906789	0	0.280055040218026	0	0
"CLEC6A"	33.6959957566335	0	0	0	0	0.700206796826555	0	0	0	0.787547158992478	0	0	1.09727041888757	0.534983428925596	16.1869491796045	0	0
"FXYD6"	114.167642096712	0.470769089158954	0.183293366797115	0.290845570119707	0.13653074879207	3.22113607960191	0.635156648434344	0.410599694438078	0.52430597680945	0.22433086724421	0.534073852391646	0.059585008476603	10.0843760444532	2.51479745985691	33.3508267419488	2.4247225435439	2.3272749287509
"NRG1"	142.457346578592	0.194956832846436	0.152702392287187	0.279068161260462	0.181298447730087	4.35806065853359	0.49434918721047	0.342341951352541	0	0.566033784807132	0.550470977716291	0.817892643570395	5.9325859469272	2.75863568352274	43.0915961544959	0.302123730288839	6.59586777141051
"PRLR"	8.57130633866185	0.00356206336852495	0.0136456568189963	0.0134844972701168	0.00996365105191695	0.480771131021084	0.0213801806899801	0.0197644202783726	0.0305340349223179	0.0264023134500159	0.0108603809174194	0.0248489260254393	0.704866451429236	0.157849156500616	0.0897115320778394	0.017394253280411	0.0816075640107993
"CLEC5A"	33.1098343168103	0	0	0	0	1.2916919162158	0.116823079727378	0	0	1.46059141783007	0	0	1.90089651498906	0.271896563707107	10.5695475990702	0	0
"VCAN-AS1"	70.8391823869965	0.213640707455711	0	0	0	0.930045489621687	0	0	0	0	0	0.622971804649818	4.12895048350853	0.924399376695711	88.5244836101915	0	0
"C9orf47"	3.1544815785946	0	0	0	0	0.0777914840772766	0	0	0	0	0	0	0	0.0630407580191379	0.0112989389484093	0	0
"PLA2G7"	83.5615953949848	0.41375933865331	0.180663219267038	0.254234854663717	0.318621780446379	3.89690803647519	0.272239751040174	0.402333902575465	0.104924021363742	0.278211734450014	0.332374293463559	0.513227375382264	7.48807522612731	3.64622427500605	73.81416130175	0.841922910528788	6.65442915271725
"CYP1B1"	310.208867554616	0.129203316733419	0.00146601476753316	0.0321344686545244	0.134913235295663	13.5586064596319	0.0506802982550348	0.110007256262533	0.0326678832880402	3.3383971725596	0	0	33.1217709730591	7.12783252787824	11.7199730427418	0	13.1858091164311
